State,City,Destination,Category,Rating,Best Time to visit,Category_Code,State_Code
Delhi,Delhi,India Gate,War Memorial,4.6,Evening,74,7
Delhi,Delhi,Humayun's Tomb,Tomb,4.5,Afternoon,65,7
Delhi,Delhi,Akshardham Temple,Temple,4.6,Afternoon,62,7
Delhi,Delhi,Waste to Wonder Park,Theme Park,4.1,Evening,64,7
Delhi,Delhi,Jantar Mantar,Observatory,4.2,Morning,38,7
Delhi,Delhi,Chandni Chowk,Market,4.2,Afternoon,28,7
Delhi,Delhi,Lotus Temple,Temple,4.5,Evening,62,7
Delhi,Delhi,Red Fort,Fort,4.5,Afternoon,17,7
Delhi,Delhi,Agrasen ki Baoli,Stepwell,4.2,Afternoon,58,7
Delhi,Delhi,Sunder Nursery,Park,4.6,Afternoon,41,7
Delhi,Delhi,Garden of Five Senses,Park,4.1,Morning,41,7
Delhi,Delhi,Lodhi Garden,Park,4.5,All,41,7
Delhi,Delhi,National Gallery of Modern Art,Museum,4.5,All,35,7
Delhi,Delhi,National Zoological Park ,Zoo,4.1,All,77,7
Delhi,Delhi,Qutub Minar,Monument,4.5,Afternoon,32,7
Delhi,Delhi,National Science Centre,Science,4.4,All,52,7
Maharastra,Mumbai,Marine Drive,Promenade,4.5,Evening,43,19
Maharastra,Mumbai,Gateway of India,Monument,4.6,All,32,19
Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,4.6,All,35,19
Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,4.3,All,36,19
Maharastra,Mumbai,Siddhivinayak Temple,Temple,4.8,All,62,19
Maharastra,Mumbai,Mahalaxmi Temple,Temple,4.7,All,62,19
Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,4.4,All,46,19
Maharastra,Mumbai,Chowpatty Beach,Beach,4.3,Evening,3,19
Maharastra,Mumbai,Essel World,Amusement Park,4.3,All,1,19
Maharastra,Mumbai,Elephanta Caves,Monument,4.3,All ,32,19
Maharastra,Lonavala,Imagicaa,Amusement Park,1.4,All,1,19
Karnataka,Bangalore,Bangalore Palace,Palace,4.2,Morning,40,14
Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,4.4,Evening,6,14
Karnataka,Bangalore,Cubbon Park,Park,4.4,Morning,41,14
Karnataka,Bangalore,Vidhana Soudha,Government Building,4.6,Morning,19,14
Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,4.6,Evening,62,14
